date,league_id,team1,team2,prob1,prob2,probtie,pred538
12/26/17,2411,Chelsea,Brighton and Hove Albion,0.8335,0.0293,0.1371,Home Win
12/26/17,2411,West Bromwich Albion,Everton,0.3769,0.3282,0.295,Home Win
12/26/17,2411,Liverpool,Swansea City,0.8649,0.0273,0.1078,Home Win
12/27/17,2411,Newcastle,Manchester City,0.0777,0.7801,0.1422,Away Win
12/28/17,2411,Crystal Palace,Arsenal,0.2152,0.5563,0.2286,Away Win
12/30/17,2411,Liverpool,Leicester City,0.7889,0.0711,0.1401,Home Win
12/30/17,2411,Watford,Swansea City,0.5372,0.1977,0.2651,Home Win
12/30/17,2411,AFC Bournemouth,Everton,0.386,0.3403,0.2736,Home Win
12/30/17,2411,Newcastle,Brighton and Hove Albion,0.4489,0.2462,0.3049,Home Win
12/30/17,2411,Huddersfield Town,Burnley,0.3472,0.33,0.3227,Home Win
12/30/17,2411,Chelsea,Stoke City,0.8182,0.0517,0.1301,Home Win
12/30/17,2411,Manchester United,Southampton,0.6731,0.128,0.1989,Home Win
12/31/17,2411,Crystal Palace,Manchester City,0.1216,0.6947,0.1836,Away Win
12/31/17,2411,West Bromwich Albion,Arsenal,0.1629,0.6149,0.2222,Away Win
1/1/18,2411,Brighton and Hove Albion,AFC Bournemouth,0.3902,0.3058,0.304,Home Win
1/1/18,2411,Burnley,Liverpool,0.1736,0.5934,0.233,Away Win
1/1/18,2411,Stoke City,Newcastle,0.4679,0.2652,0.2669,Home Win
1/1/18,2411,Leicester City,Huddersfield Town,0.5801,0.1664,0.2536,Home Win
1/1/18,2411,Everton,Manchester United,0.2309,0.5257,0.2434,Away Win
1/2/18,2411,Swansea City,Tottenham Hotspur,0.1299,0.658,0.2121,Away Win
1/2/18,2411,Southampton,Crystal Palace,0.4225,0.2965,0.281,Home Win
1/2/18,2411,West Ham United,West Bromwich Albion,0.4364,0.2763,0.2874,Home Win
1/2/18,2411,Manchester City,Watford,0.89,0.0252,0.0848,Home Win
1/3/18,2411,Arsenal,Chelsea,0.4013,0.35,0.2487,Home Win
1/4/18,2411,Tottenham Hotspur,West Ham United,0.8166,0.0537,0.1297,Home Win
1/13/18,2411,Chelsea,Leicester City,0.7571,0.0779,0.1651,Home Win
1/13/18,2411,Newcastle,Swansea City,0.4668,0.2258,0.3074,Home Win
1/13/18,2411,Watford,Southampton,0.4227,0.3128,0.2645,Home Win
1/13/18,2411,Huddersfield Town,West Ham United,0.3581,0.3543,0.2876,Home Win
1/13/18,2411,West Bromwich Albion,Brighton and Hove Albion,0.462,0.2139,0.3241,Home Win
1/13/18,2411,Crystal Palace,Burnley,0.4705,0.23,0.2995,Home Win
1/13/18,2411,Tottenham Hotspur,Everton,0.7813,0.0633,0.1554,Home Win
1/14/18,2411,AFC Bournemouth,Arsenal,0.1723,0.6335,0.1941,Away Win
1/14/18,2411,Liverpool,Manchester City,0.3596,0.3981,0.2424,Away Win
1/15/18,2411,Manchester United,Stoke City,0.7891,0.0661,0.1448,Home Win
1/20/18,2411,Brighton and Hove Albion,Chelsea,0.1238,0.6575,0.2187,Away Win
1/20/18,2411,Everton,West Bromwich Albion,0.4505,0.2526,0.2969,Home Win
1/20/18,2411,Stoke City,Huddersfield Town,0.5043,0.2256,0.2701,Home Win
1/20/18,2411,Burnley,Manchester United,0.2437,0.4763,0.28,Away Win
1/20/18,2411,West Ham United,AFC Bournemouth,0.4625,0.2869,0.2507,Home Win
1/20/18,2411,Leicester City,Watford,0.5334,0.2253,0.2413,Home Win
1/20/18,2411,Arsenal,Crystal Palace,0.6599,0.1418,0.1983,Home Win
1/20/18,2411,Manchester City,Newcastle,0.8981,0.018,0.0838,Home Win
1/21/18,2411,Southampton,Tottenham Hotspur,0.177,0.5988,0.2242,Away Win
1/22/18,2411,Swansea City,Liverpool,0.1086,0.7119,0.1795,Away Win
1/30/18,2411,West Ham United,Crystal Palace,0.3948,0.3383,0.2669,Home Win
1/30/18,2411,Swansea City,Arsenal,0.1458,0.6473,0.2069,Away Win
1/30/18,2411,Huddersfield Town,Liverpool,0.0906,0.7456,0.1638,Away Win
1/31/18,2411,Newcastle,Burnley,0.3592,0.3189,0.3219,Home Win
1/31/18,2411,Everton,Leicester City,0.3458,0.3776,0.2766,Away Win
1/31/18,2411,Chelsea,AFC Bournemouth,0.8084,0.0532,0.1385,Home Win
1/31/18,2411,Southampton,Brighton and Hove Albion,0.5415,0.1834,0.275,Home Win
1/31/18,2411,Manchester City,West Bromwich Albion,0.8688,0.0243,0.1069,Home Win
1/31/18,2411,Tottenham Hotspur,Manchester United,0.5206,0.2313,0.248,Home Win
1/31/18,2411,Stoke City,Watford,0.4076,0.337,0.2555,Home Win
2/3/18,2411,Burnley,Manchester City,0.1259,0.6629,0.2112,Away Win
2/3/18,2411,West Bromwich Albion,Southampton,0.3966,0.2985,0.3049,Home Win
2/3/18,2411,Brighton and Hove Albion,West Ham United,0.3565,0.3521,0.2914,Home Win
2/3/18,2411,Manchester United,Huddersfield Town,0.8268,0.033,0.1402,Home Win
2/3/18,2411,AFC Bournemouth,Stoke City,0.5279,0.2246,0.2475,Home Win
2/3/18,2411,Leicester City,Swansea City,0.5693,0.1671,0.2636,Home Win
2/3/18,2411,Arsenal,Everton,0.7596,0.0885,0.1518,Home Win
2/4/18,2411,Crystal Palace,Newcastle,0.5425,0.1968,0.2607,Home Win
2/4/18,2411,Liverpool,Tottenham Hotspur,0.4718,0.2843,0.2439,Home Win
2/5/18,2411,Watford,Chelsea,0.1872,0.5899,0.2229,Away Win
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
